"filename", "language", "XML", "JavaScript", "CSS", "JSON", "Markdown", "JavaScript React", "HTML", "Python", "comment", "blank", "total"
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0005_alter_cart_data_quantity.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 1, 6, 17
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0006_remove_cart_data_id_cart_data_cart_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 14, 1, 6, 21
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/cart/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 10
"/Users/debraj/Desktop/BookSelling/server/cart/tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"/Users/debraj/Desktop/BookSelling/server/cart/url.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"/Users/debraj/Desktop/BookSelling/server/cart/views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 65, 12, 12, 89
"/Users/debraj/Desktop/BookSelling/server/manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 3, 5, 23
"/Users/debraj/Desktop/BookSelling/server/payments/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/payments/admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"/Users/debraj/Desktop/BookSelling/server/payments/apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"/Users/debraj/Desktop/BookSelling/server/payments/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/payments/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"/Users/debraj/Desktop/BookSelling/server/payments/tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"/Users/debraj/Desktop/BookSelling/server/payments/urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/debraj/Desktop/BookSelling/server/payments/views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 2, 3, 24
"/Users/debraj/Desktop/BookSelling/server/pre_registration/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/pre_registration/admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 6
"/Users/debraj/Desktop/BookSelling/server/pre_registration/apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"/Users/debraj/Desktop/BookSelling/server/pre_registration/migrations/0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 1, 7, 27
"/Users/debraj/Desktop/BookSelling/server/pre_registration/migrations/0002_alter_registration_book_id_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 1, 6, 24
"/Users/debraj/Desktop/BookSelling/server/pre_registration/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/pre_registration/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 7, 1, 1, 9
